35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
35,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,35
35,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,35
35,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,35,-1,-1,28,35
35,35,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,35,35
35,-1,-1,20,22,-1,-1,35,35,-1,-1,-1,-1,-1,-1,35
35,-1,-1,35,35,-1,-1,-1,-1,-1,-1,35,35,-1,-1,35
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35
35,2,-1,-1,-1,-1,35,2,2,35,-1,-1,-1,-1,2,35
35,35,35,-1,-1,-1,-1,-1,-1,-1,3,4,-1,35,35,35
35,35,35,35,27,-1,20,21,22,-1,18,19,35,35,35,35
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
