110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110
110,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110
110,-1,-1,-1,-1,-1,-1,110,110,110,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,110
110,110,-1,-1,-1,48,110,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,110
110,110,110,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,110
110,-1,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,-1,-1,110
110,-1,-1,-1,110,110,110,-1,-1,-1,-1,67,68,68,68,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,110
110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,83,83,83,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110
110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,83,83,83,84,-1,2,-1,-1,-1,-1,-1,-1,55,56,57,-1,-1,110
110,110,110,110,110,-1,-1,66,68,68,68,97,83,83,83,99,68,68,68,68,70,-1,-1,-1,-1,-1,-1,-1,-1,110
110,110,110,110,110,-1,-1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,-1,-1,-1,-1,-1,-1,-1,-1,110
110,110,110,110,110,-1,-1,110,110,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,45,45,45,45,45,45,45,45,110
110,110,110,110,110,-1,-1,110,110,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,110,110,110,110,110,110,110,110,110
110,110,110,110,110,-1,-1,110,110,110,110,-1,-1,110,110,110,110,110,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110
110,110,110,110,110,-1,-1,110,110,110,-1,-1,-1,110,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,-1,-1,3,4,110
110,110,110,110,110,-1,-1,110,110,-1,-1,-1,110,110,2,-1,-1,-1,-1,-1,-1,110,110,110,110,-1,-1,18,19,110
110,110,110,110,110,-1,-1,-1,-1,-1,-1,110,110,110,110,110,-1,-1,-1,110,110,110,110,110,110,110,110,110,110,110
110,110,110,110,110,-1,-1,-1,-1,-1,110,110,110,110,110,110,51,110,110,110,110,110,110,110,110,110,110,110,110,110
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,50,110,110,110,110,110,110,110,110,110,110,110,110,110
